pruefgroesse,wert,einheit,ok_von,ok_bis,status,diagnose
v_Darcy max / v_erwartet,1.852,-,0.0,10.0,OK,Plausibel (3.39 m/d gegen erwartete 1.83 m/d).
Brunnendruck / Thiem-Vorhersage,1.002,-,0.2,4.0,OK,Feld (1.15 kPa) und Handformel (1.15 kPa) passen zusammen.
Aquifervolumen ueber 50 GradC,0.002076,%,0.0,15.0,OK,Fahne bleibt lokal.
T_max - T_inj,1.127,K,-50.0,0.05,WARNUNG,"Überschwinger am geklemmten Filterkörper im Durchstrom (0.3 % des Temperaturhubs). Bekannter Galerkin-Effekt, energetisch belanglos. Erst jenseits von 16.2 K deutet das auf eine Dauerklemme hin."
Streuung T_Brunnen (Förderung),3.727,K,0.5,50.0,OK,Fördertemperatur wird berechnet.
T_min unter T_amb,5.849,K,0.0,1.0,WARNUNG,"Unterschwinger an der Wärmefront. Bis ~8 K ist das der bekannte Effekt der konsistenten Massenmatrix (tritt auf, solange dt < h²/(6a)) und energetisch belanglos — kein Modellfehler."
Deckgestein / Leitfront 2*sqrt(a*t),4.304,-,1.5,10.0,OK,Deckgestein 60 m > Front 14 m.
Fahne stromab / Platz stromab,0.3549,-,0.0,0.85,OK,Fahne 603 m stromab bei 1700 m Platz - die Drift bleibt sichtbar.
Filtereintrittsgeschw.,0.000127,m/s,0.0,0.03,OK,"Weit unter dem Richtwert 0,03 m/s."
Dirichlet-Mehreintrag,200.2,%,0.0,400.0,OK,Waermetauschereffekt am Grundwasserstrom - so erwartet. Deshalb ist eta im Stroemungsfall wenig aussagekraeftig; belastbar ist dort die Foerdertemperatur.
